,period,Actual,Predicted
0,2023-12-26,3.08,1.8228767123287666
1,2023-12-27,2.21,1.6724605678233415
2,2023-12-28,1.12,1.7337198067632833
3,2023-12-29,1.33,1.6724605678233415
4,2023-12-30,1.17,1.7337198067632833
5,2023-12-31,1.25,1.7337198067632833
6,2024-01-01,1.25,1.726398809523809
7,2024-01-02,1.46,1.7337198067632833
8,2024-01-03,1.92,1.7337198067632833
9,2024-01-04,1.83,1.945516304347824
10,2024-01-05,1.96,1.7337198067632833
11,2024-01-07,2.0,1.8228767123287666
12,2024-01-08,1.5,1.8228767123287666
13,2024-01-09,2.0,1.94228346456693
14,2024-01-10,1.7,1.945516304347824
15,2024-01-11,1.04,1.726398809523809
16,2024-01-12,1.67,1.726398809523809
17,2024-01-13,1.71,1.7261309523809534
18,2024-01-14,1.21,1.8228767123287666
19,2024-01-15,1.58,1.8228767123287666
20,2024-01-16,1.88,1.8228767123287666
21,2024-01-17,1.79,1.94228346456693
22,2024-01-18,2.0,1.945516304347824
23,2024-01-19,1.54,1.8228767123287666
24,2024-01-20,1.46,1.8228767123287666
25,2024-01-21,1.25,1.726398809523809
26,2024-01-22,1.71,1.726398809523809
27,2024-01-24,2.29,1.9841798941798932
28,2024-01-26,1.38,1.94228346456693
29,2024-01-27,1.17,1.858203389830509
30,2024-01-28,1.92,1.945516304347824
31,2024-01-29,1.46,1.7337198067632833
32,2024-01-30,1.75,1.7337198067632833
33,2024-01-31,2.0,1.7337198067632833
34,2024-02-01,2.21,1.8228767123287666
35,2024-02-02,2.58,1.8228767123287666
36,2024-02-03,1.38,2.0393548387096767
37,2024-02-04,1.83,1.7261309523809534
38,2024-02-05,2.0,2.0451807228915677
39,2024-02-06,1.96,2.0509160305343506
40,2024-02-07,1.42,1.8228767123287666
41,2024-02-08,3.08,1.945516304347824
42,2024-02-09,2.17,1.858203389830509
43,2024-02-10,2.17,1.8228767123287666
44,2024-02-11,1.38,1.8228767123287666
45,2024-02-12,1.79,1.7337198067632833
46,2024-02-13,1.62,1.858203389830509
47,2024-02-14,1.71,1.7201562500000005
48,2024-02-15,2.0,1.7578616352201257
49,2024-02-17,1.58,1.7337198067632833
50,2024-02-18,1.83,1.7261309523809534
51,2024-02-19,1.96,1.6724605678233415
52,2024-02-25,2.12,1.7261309523809534
53,2024-02-26,1.96,1.8228767123287666
54,2024-02-27,2.79,1.8228767123287666
55,2024-02-28,2.29,1.8228767123287666
56,2024-02-29,2.21,1.7261309523809534
57,2024-03-01,2.0,1.7337198067632833
58,2024-03-02,2.0,1.858203389830509
59,2024-03-03,1.58,1.945516304347824
60,2024-03-04,1.29,1.8228767123287666
61,2024-03-05,1.5,1.7337198067632833
62,2024-03-06,1.67,1.8228767123287666
63,2024-03-07,1.5,1.94228346456693
64,2024-03-10,2.04,1.7201562500000005
65,2024-03-11,1.79,1.858203389830509
66,2024-03-12,2.21,1.858203389830509
67,2024-03-13,2.04,1.7261309523809534
68,2024-03-14,2.04,1.7337198067632833
69,2024-03-15,1.46,1.8228767123287666
