,period,Actual,Predicted
0,2023-12-26,3.08,1.705980175901915
1,2023-12-27,2.21,1.5924331664304774
2,2023-12-28,1.12,1.6596895654081636
3,2023-12-29,1.33,1.56696767163757
4,2023-12-30,1.17,1.4949763954428048
5,2023-12-31,1.25,1.611895620330694
6,2024-01-01,1.25,1.6113600326484088
7,2024-01-02,1.46,1.5630903422074398
8,2024-01-03,1.92,1.6279730770413081
9,2024-01-04,1.83,1.779487090578794
10,2024-01-05,1.96,1.5107913190626918
11,2024-01-07,2.0,1.6887045577314272
12,2024-01-08,1.5,1.6787334729180428
13,2024-01-09,2.0,1.7818007235145386
14,2024-01-10,1.7,1.6546638766939823
15,2024-01-11,1.04,1.5608378289543203
16,2024-01-12,1.67,1.5798816162931812
17,2024-01-13,1.71,1.7327386045561417
18,2024-01-14,1.21,1.7576737106349105
19,2024-01-15,1.58,1.8160894155322147
20,2024-01-16,1.88,1.74586433255776
21,2024-01-17,1.79,1.7409129331511264
22,2024-01-18,2.0,1.9942579118740444
23,2024-01-19,1.54,1.7669034044759935
24,2024-01-20,1.46,1.6670273090251353
25,2024-01-21,1.25,1.4594175938829692
26,2024-01-22,1.71,1.5786018582084613
27,2024-01-24,2.29,1.8648712413457922
28,2024-01-26,1.38,1.773884141511318
29,2024-01-27,1.17,1.7165378415182788
30,2024-01-28,1.92,1.888586565825796
31,2024-01-29,1.46,1.6230267411578734
32,2024-01-30,1.75,1.5548317450130151
33,2024-01-31,2.0,1.6390741723828561
34,2024-02-01,2.21,1.6571195736403588
35,2024-02-02,2.58,1.7769676323388361
36,2024-02-03,1.38,1.8291580794265463
37,2024-02-04,1.83,1.6530886901341515
38,2024-02-05,2.0,1.7696420192154232
39,2024-02-06,1.96,1.9521426593692988
40,2024-02-07,1.42,1.7037148767425934
41,2024-02-08,3.08,1.6634900781070188
42,2024-02-09,2.17,1.8187087308366996
43,2024-02-10,2.17,1.773767789457677
44,2024-02-11,1.38,1.7630655219646083
45,2024-02-12,1.79,1.6877488083579808
46,2024-02-13,1.62,1.6930913682266084
47,2024-02-14,1.71,1.6438178394734266
48,2024-02-15,2.0,1.6730080315237663
49,2024-02-17,1.58,1.5556129536131122
50,2024-02-18,1.83,1.6926611883180613
51,2024-02-19,1.96,1.560064926358798
52,2024-02-25,2.12,1.6390159108179665
53,2024-02-26,1.96,1.806862107703781
54,2024-02-27,2.79,1.6908007711029063
55,2024-02-28,2.29,1.7043864598318998
56,2024-02-29,2.21,1.7357639429515697
57,2024-03-01,2.0,1.6339106287674674
58,2024-03-02,2.0,1.7713094477723208
59,2024-03-03,1.58,1.8175251532575372
60,2024-03-04,1.29,1.667711554583125
61,2024-03-05,1.5,1.7792621796109058
62,2024-03-06,1.67,1.6967039302356979
