,period,Actual,Predicted
0,2023-12-26,3.08,1.6301945805406206
1,2023-12-27,2.21,1.6808702044145432
2,2023-12-28,1.12,1.6926432743494613
3,2023-12-29,1.33,1.6751320367779827
4,2023-12-30,1.17,1.7261338323119777
5,2023-12-31,1.25,1.7180990777288723
6,2024-01-01,1.25,1.7173427951726876
7,2024-01-02,1.46,1.7458360198736769
8,2024-01-03,1.92,1.7932359496912222
9,2024-01-04,1.83,1.7130224926559021
10,2024-01-05,1.96,1.7249535425664684
11,2024-01-07,2.0,1.7234814629937896
12,2024-01-08,1.5,1.7419213639837774
13,2024-01-09,2.0,1.8718366388985248
14,2024-01-10,1.7,1.7257856903476463
15,2024-01-11,1.04,1.7612427318152943
16,2024-01-12,1.67,1.7856359503469896
17,2024-01-13,1.71,1.6513820681418607
18,2024-01-14,1.21,1.6533478048443842
19,2024-01-15,1.58,1.7822412036064765
20,2024-01-16,1.88,1.842572172866248
21,2024-01-17,1.79,1.8424024429924533
22,2024-01-18,2.0,1.8482930217498
23,2024-01-19,1.54,1.7920419355768578
24,2024-01-20,1.46,1.7858031044527791
25,2024-01-21,1.25,1.7876803619322263
26,2024-01-22,1.71,1.8141477029769453
27,2024-01-24,2.29,1.9174996208018755
28,2024-01-26,1.38,1.8736180726161287
29,2024-01-27,1.17,1.7798004987228357
30,2024-01-28,1.92,1.711167777708304
31,2024-01-29,1.46,1.7273518346879966
32,2024-01-30,1.75,1.7313170673945582
33,2024-01-31,2.0,1.7346481715245399
34,2024-02-01,2.21,1.7970600541784716
35,2024-02-02,2.58,1.7566551874238296
36,2024-02-03,1.38,1.589782073378667
37,2024-02-04,1.83,1.526528580544741
38,2024-02-05,2.0,1.6116632482200355
39,2024-02-06,1.96,1.6645957633987283
40,2024-02-07,1.42,1.7154098199192789
41,2024-02-08,3.08,1.7297735995731187
42,2024-02-09,2.17,1.7367862269537775
43,2024-02-10,2.17,1.624457181254322
44,2024-02-11,1.38,1.6428678620546375
45,2024-02-12,1.79,1.7610975107948805
46,2024-02-13,1.62,1.78900589808522
47,2024-02-14,1.71,1.6804668691852107
48,2024-02-15,2.0,1.6957074155489766
49,2024-02-17,1.58,1.7312002703191336
50,2024-02-18,1.83,1.6286987556069021
51,2024-02-19,1.96,1.604101603078003
52,2024-02-25,2.12,1.6079794478129938
53,2024-02-26,1.96,1.6108555926025057
54,2024-02-27,2.79,1.5990421702532363
55,2024-02-28,2.29,1.5850138293973357
56,2024-02-29,2.21,1.6350021359885958
57,2024-03-01,2.0,1.7310374012977003
58,2024-03-02,2.0,1.75380320006491
59,2024-03-03,1.58,1.70659332700513
60,2024-03-04,1.29,1.801121111508599
