,period,Actual,Predicted
0,2023-12-26,3.08,1.678544552844174
1,2023-12-27,2.21,1.6121964250409084
2,2023-12-28,1.12,1.7076446921743065
3,2023-12-29,1.33,1.5654811993529378
4,2023-12-30,1.17,1.647702111771268
5,2023-12-31,1.25,1.645374046141961
6,2024-01-01,1.25,1.6514625340549498
7,2024-01-02,1.46,1.5925547203646317
8,2024-01-03,1.92,1.6847353637204798
9,2024-01-04,1.83,1.6976753947967314
10,2024-01-05,1.96,1.6821297705013618
11,2024-01-07,2.0,1.6441147258777355
12,2024-01-08,1.5,1.6654030852374975
13,2024-01-09,2.0,1.8218112200191685
14,2024-01-10,1.7,1.7136404879757283
15,2024-01-11,1.04,1.6204379056589069
16,2024-01-12,1.67,1.5396389625089701
17,2024-01-13,1.71,1.7716802808390344
18,2024-01-14,1.21,1.6791580037235276
19,2024-01-15,1.58,1.6923313074958999
20,2024-01-16,1.88,1.6880240370109925
21,2024-01-17,1.79,1.8039249360063536
22,2024-01-18,2.0,1.7499276340314205
23,2024-01-19,1.54,1.7040449322477869
24,2024-01-20,1.46,1.7729916722192245
25,2024-01-21,1.25,1.5035801368772297
26,2024-01-22,1.71,1.5309160861249478
27,2024-01-24,2.29,1.810222273737486
28,2024-01-26,1.38,1.8296064617936998
29,2024-01-27,1.17,1.7208184392084873
30,2024-01-28,1.92,1.7485977184344226
31,2024-01-29,1.46,1.6993100709295366
32,2024-01-30,1.75,1.6821297705013618
33,2024-01-31,2.0,1.7127463860229515
34,2024-02-01,2.21,1.6984702327546288
35,2024-02-02,2.58,1.807275685995512
36,2024-02-03,1.38,1.7894231711556836
37,2024-02-04,1.83,1.6306856518618926
38,2024-02-05,2.0,1.7996592502642317
39,2024-02-06,1.96,1.9461785889327452
40,2024-02-07,1.42,1.6595282912795
41,2024-02-08,3.08,1.7201869122221214
42,2024-02-09,2.17,1.722118574674672
43,2024-02-10,2.17,1.8018289465393653
44,2024-02-11,1.38,1.7606633822074504
45,2024-02-12,1.79,1.773641775315705
46,2024-02-13,1.62,1.8123568760822546
47,2024-02-14,1.71,1.6975884156974046
48,2024-02-15,2.0,1.6537515882103306
49,2024-02-17,1.58,1.647702111771268
50,2024-02-18,1.83,1.7032533074635687
51,2024-02-19,1.96,1.658504524964482
52,2024-02-25,2.12,1.6496570149968361
53,2024-02-26,1.96,1.738008393483047
54,2024-02-27,2.79,1.7055905291319993
55,2024-02-28,2.29,1.7197670267548417
56,2024-02-29,2.21,1.8259188047549926
57,2024-03-01,2.0,1.6943795562886599
58,2024-03-02,2.0,1.807275685995512
59,2024-03-03,1.58,1.7447573673654153
60,2024-03-04,1.29,1.659930165516958
61,2024-03-05,1.5,1.8257214825181916
62,2024-03-06,1.67,1.719847507120954
63,2024-03-07,1.5,1.8382204012983026
64,2024-03-10,2.04,1.639035015209481
65,2024-03-11,1.79,1.5045028534599596
66,2024-03-12,2.21,1.6132086392375442
67,2024-03-13,2.04,1.666017030371581
68,2024-03-14,2.04,1.618380308810478
69,2024-03-15,1.46,1.7174715258427933
70,2024-03-16,2.12,1.655670151570145
71,2024-03-17,2.08,1.6197341683807192
72,2024-03-18,1.83,1.623005889600563
73,2024-03-19,2.0,1.6441147258777355
74,2024-03-20,1.75,1.7199328311682742
75,2024-03-21,2.0,1.6657105815725013
76,2024-03-22,2.0,1.6714365938720284
77,2024-03-23,2.08,1.807275685995512
78,2024-03-24,2.12,1.655670151570145
79,2024-03-25,2.0,1.6579810555566803
80,2024-03-26,2.0,1.5035801368772297
81,2024-03-27,1.54,1.644350612455117
82,2024-03-29,2.04,1.5842567168307495
83,2024-03-30,2.17,1.6304049241141225
84,2024-03-31,1.33,1.6078709777176485
85,2024-04-01,1.88,1.637754546727245
86,2024-04-02,2.0,1.7141324768616357
87,2024-04-03,2.0,1.6540065277265994
88,2024-04-04,2.0,1.623005889600563
89,2024-04-05,2.0,1.6560754719395498
90,2024-04-06,2.0,1.6706674279924583
91,2024-04-07,2.0,1.656002109793171
92,2024-04-08,1.92,1.635671946649728
93,2024-04-09,1.71,1.666887674706404
94,2024-04-10,1.96,1.5636996509384888
95,2024-04-11,1.75,1.7493791749987313
96,2024-04-12,1.96,1.6791580037235276
97,2024-04-13,2.0,1.6119874445152038
98,2024-04-14,2.25,1.642028006054457
99,2024-04-15,2.29,1.658504524964482
100,2024-04-16,1.62,1.7384962539746194
101,2024-04-17,1.62,1.6777655724691767
102,2024-04-19,2.0,1.6923883856349795
103,2024-04-20,1.58,1.6486053802779184
104,2024-04-21,2.08,1.7384962539746194
105,2024-04-27,2.38,1.6078709777176485
106,2024-05-01,1.88,1.6083716097290028
107,2024-05-05,2.0,1.6573557926061584
108,2024-05-08,2.0,1.633523402446602
109,2024-05-14,2.21,1.6539157683446926
110,2024-05-21,1.62,1.6787508482560192
111,2024-05-22,2.25,1.6609791190076444
112,2024-05-23,1.83,1.8513891081048124
113,2024-05-28,1.79,1.8393454218524485
114,2024-06-02,2.79,1.6078288759117434
115,2024-06-06,1.62,1.9593447098260024
116,2024-06-13,2.42,1.8487245300933544
117,2024-06-18,2.88,1.9237274645805067
118,2024-06-19,2.88,1.9031153465259962
119,2024-06-20,2.54,1.9987968185435103
120,2024-06-26,2.58,1.9383994098658075
121,2024-07-01,1.08,1.7888394756811958
122,2024-07-02,2.08,1.7984872243121757
123,2024-07-05,1.96,2.0278833709587336
124,2024-07-06,1.96,2.0020219243934614
125,2024-07-07,2.92,1.9031153465259962
126,2024-07-08,2.67,2.125113700008226
127,2024-07-09,2.42,2.1660428921292487
128,2024-07-10,2.04,2.1660428921292487
129,2024-07-11,1.92,2.1660428921292487
130,2024-07-12,1.96,1.993936386517689
131,2024-07-13,1.58,1.9523888147617159
132,2024-07-14,2.5,1.9487261854900262
133,2024-07-15,2.83,1.9523888147617159
134,2024-07-16,2.79,1.9523888147617159
135,2024-07-17,2.54,1.9487261854900262
136,2024-07-21,2.79,1.7940053172104415
137,2024-07-22,2.46,1.9031153465259962
138,2024-08-01,1.67,2.1726042866730126
139,2024-08-02,1.96,2.1660428921292487
140,2024-08-03,2.04,2.1660428921292487
141,2024-08-04,1.96,1.9523888147617159
142,2024-08-05,2.04,1.9523888147617159
143,2024-08-06,1.67,1.9523888147617159
144,2024-08-07,1.67,1.820877421017385
145,2024-08-08,1.88,1.7296548774787714
146,2024-08-11,1.75,1.580940661975545
147,2024-08-12,1.62,1.7809093067703807
148,2024-08-13,1.38,1.7809093067703807
149,2024-08-14,2.42,1.8426926185277543
150,2024-08-15,2.25,2.017912396384532
151,2024-08-16,2.46,2.017912396384532
152,2024-08-17,1.62,1.8507786855237356
