,period,Actual,Predicted
0,2023-12-26,3.08,0.505569
1,2023-12-27,2.21,0.56377745
2,2023-12-28,1.12,0.57859087
3,2023-12-29,1.33,0.5568738
4,2023-12-30,1.17,0.6186452
5,2023-12-31,1.25,0.6093774
6,2024-01-01,1.25,0.6075444
7,2024-01-02,1.46,0.64233446
8,2024-01-03,1.92,0.7003865
9,2024-01-04,1.83,0.606833
10,2024-01-05,1.96,0.6173997
11,2024-01-07,2.0,0.61778116
12,2024-01-08,1.5,0.6396508
13,2024-01-09,2.0,0.7971864
14,2024-01-10,1.7,0.6213021
15,2024-01-11,1.04,0.66099405
16,2024-01-12,1.67,0.6904092
17,2024-01-13,1.71,0.5300784
18,2024-01-14,1.21,0.5337157
19,2024-01-15,1.58,0.69112253
20,2024-01-16,1.88,0.7650285
21,2024-01-17,1.79,0.9228368
22,2024-01-18,2.0,1.0823522
23,2024-01-19,1.54,1.1104722
24,2024-01-20,1.46,1.0254121
25,2024-01-21,1.25,0.71485376
26,2024-01-22,1.71,0.72447824
27,2024-01-24,2.29,0.84818125
28,2024-01-26,1.38,0.7957635
29,2024-01-27,1.17,0.68612146
30,2024-01-28,1.92,0.60609865
31,2024-01-29,1.46,0.6209893
32,2024-01-30,1.75,0.62504816
33,2024-01-31,2.0,0.6306405
34,2024-02-01,2.21,0.7074475
35,2024-02-02,2.58,0.6611047
36,2024-02-03,1.38,0.4580731
37,2024-02-04,1.83,0.38293692
38,2024-02-05,2.0,0.48833796
39,2024-02-06,1.96,0.5511527
40,2024-02-07,1.42,0.6078553
41,2024-02-08,3.08,0.62649393
42,2024-02-09,2.17,0.6387925
43,2024-02-10,2.17,0.49981257
44,2024-02-11,1.38,0.5218158
45,2024-02-12,1.79,0.66143274
46,2024-02-13,1.62,0.69367266
47,2024-02-14,1.71,0.56368876
48,2024-02-15,2.0,0.5814824
49,2024-02-17,1.58,0.624558
50,2024-02-18,1.83,0.50205374
51,2024-02-19,1.96,0.47137687
52,2024-02-25,2.12,0.47784182
53,2024-02-26,1.96,0.4843373
54,2024-02-27,2.79,0.46920726
55,2024-02-28,2.29,0.4510207
56,2024-02-29,2.21,0.509809
57,2024-03-01,2.0,0.62546206
58,2024-03-02,2.0,0.65873194
59,2024-03-03,1.58,0.59818125
60,2024-03-04,1.29,0.7110543
61,2024-03-05,1.5,0.7363534
62,2024-03-06,1.67,0.7369695
63,2024-03-07,1.5,0.7817941
64,2024-03-10,2.04,0.54852057
65,2024-03-11,1.79,0.6643052
66,2024-03-12,2.21,0.5537391
67,2024-03-13,2.04,0.5489125
68,2024-03-14,2.04,0.6051793
69,2024-03-15,1.46,0.68440294
70,2024-03-16,2.12,0.5681567
71,2024-03-17,2.08,0.49743506
72,2024-03-18,1.83,0.5980592
73,2024-03-19,2.0,0.6204324
74,2024-03-20,1.75,0.66371965
75,2024-03-21,2.0,0.5574107
76,2024-03-22,2.0,0.5220876
77,2024-03-23,2.08,0.65818644
78,2024-03-24,2.12,0.5638995
79,2024-03-25,2.0,0.7608123
80,2024-03-26,2.0,0.71562815
81,2024-03-27,1.54,0.6709733
82,2024-03-29,2.04,0.5275817
83,2024-03-30,2.17,0.4241347
84,2024-03-31,1.33,0.39487788
85,2024-04-01,1.88,0.60641146
86,2024-04-02,2.0,0.63771105
87,2024-04-03,2.0,0.6086297
88,2024-04-04,2.0,0.5995164
89,2024-04-05,2.0,0.61650133
90,2024-04-06,2.0,0.48623225
91,2024-04-07,2.0,0.47512004
92,2024-04-08,1.92,0.48318908
93,2024-04-09,1.71,0.4586062
94,2024-04-10,1.96,0.5411229
95,2024-04-11,1.75,0.5785575
96,2024-04-12,1.96,0.5309396
97,2024-04-13,2.0,0.40500113
98,2024-04-14,2.25,0.38838813
99,2024-04-15,2.29,0.4719586
100,2024-04-16,1.62,0.4459252
101,2024-04-17,1.62,0.48818824
102,2024-04-19,2.0,0.49700305
103,2024-04-20,1.58,0.42145965
104,2024-04-21,2.08,0.4444823
105,2024-04-27,2.38,0.3719134
106,2024-05-01,1.88,0.509562
107,2024-05-05,2.0,0.45799777
108,2024-05-08,2.0,0.584496
109,2024-05-14,2.21,0.47906825
110,2024-05-21,1.62,0.63885164
111,2024-05-22,2.25,0.74317026
