,period,Actual,Predicted
0,2023-12-26,3.08,0.9922285621084074
1,2023-12-27,2.21,1.1439171413655047
2,2023-12-28,1.12,1.1797784668157463
3,2023-12-29,1.33,1.126592744672648
4,2023-12-30,1.17,1.280785982465345
5,2023-12-31,1.25,1.2567178292489687
6,2024-01-01,1.25,1.2539911944578805
7,2024-01-02,1.46,1.3402698690817076
8,2024-01-03,1.92,1.4838840645681146
9,2024-01-04,1.83,1.2431007344904672
10,2024-01-05,1.96,1.2773069477758825
11,2024-01-07,2.0,1.2738968910036008
12,2024-01-08,1.5,1.3294219756313894
13,2024-01-09,2.0,1.722289146600501
14,2024-01-10,1.7,1.281212566724348
15,2024-01-11,1.04,1.386848393627274
16,2024-01-12,1.67,1.4605374321965017
17,2024-01-13,1.71,1.0557323814370236
18,2024-01-14,1.21,1.0622794188012947
19,2024-01-15,1.58,1.4525891329673457
20,2024-01-16,1.88,1.6353918616825056
21,2024-01-17,1.79,1.7107476091397573
22,2024-01-18,2.0,1.8017194164459895
23,2024-01-19,1.54,1.6778657540700395
24,2024-01-20,1.46,1.6217923041187121
25,2024-01-21,1.25,1.4772646599250536
26,2024-01-22,1.71,1.5465131808934118
27,2024-01-24,2.29,1.8582738396331977
28,2024-01-26,1.38,1.725957680628794
29,2024-01-27,1.17,1.4442281205371317
30,2024-01-28,1.92,1.2382187984077562
31,2024-01-29,1.46,1.2848855095882343
32,2024-01-30,1.75,1.2965193924993899
33,2024-01-31,2.0,1.3073364485632326
34,2024-02-01,2.21,1.4966117569194055
35,2024-02-02,2.58,1.3756999416501956
36,2024-02-03,1.38,0.8707448276196873
37,2024-02-04,1.83,0.6802162611658377
38,2024-02-05,2.0,0.938707277821918
39,2024-02-06,1.96,1.0981174697787126
40,2024-02-07,1.42,1.2494218303292244
41,2024-02-08,3.08,1.2934426554517402
42,2024-02-09,2.17,1.3164724908198466
43,2024-02-10,2.17,0.9754553368394726
44,2024-02-11,1.38,1.0309766400165743
45,2024-02-12,1.79,1.3867054848984979
46,2024-02-13,1.62,1.470331840307749
47,2024-02-14,1.71,1.1428893983722035
48,2024-02-15,2.0,1.1886495987015722
49,2024-02-17,1.58,1.2959978870077564
50,2024-02-18,1.83,0.9868891627080801
51,2024-02-19,1.96,0.9120988939045264
52,2024-02-25,2.12,0.9246721910100449
53,2024-02-26,1.96,0.9348122753810048
54,2024-02-27,2.79,0.8987024618110399
55,2024-02-28,2.29,0.8557154868744009
56,2024-02-29,2.21,1.0060044609541863
57,2024-03-01,2.0,1.296033902759659
58,2024-03-02,2.0,1.3675959923977232
59,2024-03-03,1.58,1.2232468069129525
60,2024-03-04,1.29,1.508260523028325
61,2024-03-05,1.5,1.574458742840902
62,2024-03-06,1.67,1.569480287675701
63,2024-03-07,1.5,1.6896306427408079
64,2024-03-10,2.04,1.1048933772700864
65,2024-03-11,1.79,1.3017739749590462
66,2024-03-12,2.21,1.0874687045217386
67,2024-03-13,2.04,1.1031134769952176
68,2024-03-14,2.04,1.2474308717507072
69,2024-03-15,1.46,1.4411551233035014
70,2024-03-16,2.12,1.1490261315931591
71,2024-03-17,2.08,0.9717262161654207
72,2024-03-18,1.83,1.223485891639625
73,2024-03-19,2.0,1.2809999522170572
74,2024-03-20,1.75,1.391383138913311
75,2024-03-21,2.0,1.1230265943005677
76,2024-03-22,2.0,1.0338868090872482
77,2024-03-23,2.08,1.3693589263581587
78,2024-03-24,2.12,1.1379741570268878
79,2024-03-25,2.0,1.2093852137105885
80,2024-03-26,2.0,1.4516265349508601
81,2024-03-27,1.54,1.410928761218797
82,2024-03-29,2.04,1.0528584290806564
83,2024-03-30,2.17,0.7900815816887233
84,2024-03-31,1.33,0.7174339562235718
85,2024-04-01,1.88,1.2492693760556492
86,2024-04-02,2.0,1.3273220409643316
87,2024-04-03,2.0,1.2533172763529863
88,2024-04-04,2.0,1.2271375010051586
89,2024-04-05,2.0,1.2754019334312532
90,2024-04-06,2.0,0.9478805244449676
91,2024-04-07,2.0,0.9211411447351155
92,2024-04-08,1.92,0.9407748948712241
93,2024-04-09,1.71,0.8787802841931397
94,2024-04-10,1.96,1.0872101611149945
95,2024-04-11,1.75,1.1773730795263462
96,2024-04-12,1.96,1.05603152591098
97,2024-04-13,2.0,0.7453454433943124
98,2024-04-14,2.25,0.7023894896487081
99,2024-04-15,2.29,0.913648142389461
100,2024-04-16,1.62,0.8480988261923402
101,2024-04-17,1.62,0.9540402895142096
102,2024-04-19,2.0,0.9762647012386468
103,2024-04-20,1.58,0.7865884921385758
104,2024-04-21,2.08,0.8445648684579782
105,2024-04-27,2.38,0.6597758742840641
106,2024-05-01,1.88,1.0077909536700234
107,2024-05-05,2.0,0.8785947672742213
108,2024-05-08,2.0,1.1960287308731083
109,2024-05-14,2.21,0.9313181736776232
110,2024-05-21,1.62,1.3321511371147197
111,2024-05-22,2.25,1.5932716004082565
112,2024-05-23,1.83,1.710549542173935
113,2024-05-28,1.79,1.4009026891687015
114,2024-06-02,2.79,1.1487756608400148
115,2024-06-06,1.62,1.9565867121742984
116,2024-06-13,2.42,1.3798991002755927
117,2024-06-18,2.88,2.1841824432141537
118,2024-06-19,2.88,2.238658894916766
119,2024-06-20,2.54,2.2981069079270626
120,2024-06-26,2.58,1.920403068262344
121,2024-07-01,1.08,1.7783288600091098
122,2024-07-02,2.08,1.7618510982294127
123,2024-07-05,1.96,2.325987273422611
124,2024-07-06,1.96,2.1614983845776394
125,2024-07-07,2.92,2.214594765775614
126,2024-07-08,2.67,2.420614118709777
127,2024-07-09,2.42,2.4939262686085883
128,2024-07-10,2.04,2.622856579002614
129,2024-07-11,1.92,2.521284452144896
130,2024-07-12,1.96,2.357468145788657
131,2024-07-13,1.58,2.2417929198419686
132,2024-07-14,2.5,2.102486457157424
133,2024-07-15,2.83,2.2427030283635347
134,2024-07-16,2.79,2.3293926173465977
135,2024-07-17,2.54,1.9607407015229499
136,2024-07-21,2.79,1.8858666893158031
137,2024-07-22,2.46,2.165906317437616
138,2024-08-01,1.67,2.3823194800435474
139,2024-08-02,1.96,2.510430142811997
140,2024-08-03,2.04,2.485516369220163
141,2024-08-04,1.96,2.2910737925550664
142,2024-08-05,2.04,2.3199743307870038
143,2024-08-06,1.67,2.2694438564668915
144,2024-08-07,1.67,1.6969501415825605
145,2024-08-08,1.88,1.5579746729173665
146,2024-08-11,1.75,1.5674578226545735
147,2024-08-12,1.62,1.7761928507544824
148,2024-08-13,1.38,1.7493758592510447
149,2024-08-14,2.42,2.0112834834473277
150,2024-08-15,2.25,2.1978940156124325
151,2024-08-16,2.46,2.1253805228499503
152,2024-08-17,1.62,1.904489905398036
