,period,Actual,Predicted
0,2023-12-26,3.08,1.328500000000001
1,2023-12-27,2.21,1.4137000000000004
2,2023-12-28,1.12,1.8709
3,2023-12-29,1.33,1.3431
4,2023-12-30,1.17,1.513299999999999
5,2023-12-31,1.25,1.8918000000000008
6,2024-01-01,1.25,1.4239999999999993
7,2024-01-02,1.46,1.1111
8,2024-01-03,1.92,1.5453999999999997
9,2024-01-04,1.83,1.5634000000000003
10,2024-01-05,1.96,1.9624000000000001
11,2024-01-07,2.0,1.561800000000001
12,2024-01-08,1.5,1.5509999999999997
13,2024-01-09,2.0,1.8334000000000008
14,2024-01-10,1.7,1.4959
15,2024-01-11,1.04,1.4671
16,2024-01-12,1.67,1.3423999999999991
17,2024-01-13,1.71,1.7295999999999998
18,2024-01-14,1.21,1.5427999999999997
19,2024-01-15,1.58,2.1851999999999983
20,2024-01-16,1.88,1.8048000000000002
21,2024-01-17,1.79,1.7730000000000001
22,2024-01-18,2.0,1.781000000000001
23,2024-01-19,1.54,1.7584000000000004
24,2024-01-20,1.46,1.8301999999999998
25,2024-01-21,1.25,1.299300000000001
26,2024-01-22,1.71,1.2082000000000008
27,2024-01-24,2.29,1.6415999999999995
28,2024-01-26,1.38,2.0789000000000013
29,2024-01-27,1.17,1.7800999999999996
30,2024-01-28,1.92,1.944199999999999
31,2024-01-29,1.46,1.2725000000000009
32,2024-01-30,1.75,1.7400999999999995
33,2024-01-31,2.0,1.9957000000000005
34,2024-02-01,2.21,1.6710000000000012
35,2024-02-02,2.58,1.7486999999999984
36,2024-02-03,1.38,1.7106999999999994
37,2024-02-04,1.83,1.7737999999999992
38,2024-02-05,2.0,1.8070999999999982
39,2024-02-06,1.96,2.2231999999999985
40,2024-02-07,1.42,1.6270000000000004
41,2024-02-08,3.08,1.7086999999999983
42,2024-02-09,2.17,1.7651999999999994
43,2024-02-10,2.17,2.1822999999999997
44,2024-02-11,1.38,1.906100000000001
45,2024-02-12,1.79,1.6683999999999992
46,2024-02-13,1.62,2.1518000000000006
47,2024-02-14,1.71,1.6775000000000018
48,2024-02-15,2.0,1.808500000000002
49,2024-02-17,1.58,1.501099999999999
50,2024-02-18,1.83,1.5223999999999995
51,2024-02-19,1.96,1.4870999999999999
52,2024-02-25,2.12,1.7934999999999999
53,2024-02-26,1.96,1.9050999999999996
54,2024-02-27,2.79,1.6829999999999998
55,2024-02-28,2.29,1.7302000000000013
56,2024-02-29,2.21,1.9987999999999997
57,2024-03-01,2.0,1.3985000000000003
58,2024-03-02,2.0,1.7573999999999992
59,2024-03-03,1.58,1.9244999999999997
60,2024-03-04,1.29,1.9000999999999997
61,2024-03-05,1.5,1.9847000000000015
62,2024-03-06,1.67,1.4407000000000005
63,2024-03-07,1.5,2.2092
64,2024-03-10,2.04,1.4103000000000003
