,period,Actual,Predicted
0,2023-12-26,3.08,1.6299443518883194
1,2023-12-27,2.21,1.639415994586658
2,2023-12-28,1.12,1.6394676998833742
3,2023-12-29,1.33,1.6391691054429147
4,2023-12-30,1.17,1.6386913253627866
5,2023-12-31,1.25,1.6388172167113262
6,2024-01-01,1.25,1.638925191706171
7,2024-01-02,1.46,1.6390674630172222
8,2024-01-03,1.92,1.6500873777916163
9,2024-01-04,1.83,1.6386200974423177
10,2024-01-05,1.96,1.63869161726352
11,2024-01-07,2.0,1.6385154197710272
12,2024-01-08,1.5,1.6386991639443391
13,2024-01-09,2.0,1.7274440271651565
14,2024-01-10,1.7,1.6384115305703242
15,2024-01-11,1.04,1.6406829818035389
16,2024-01-12,1.67,1.6469737544485004
17,2024-01-13,1.71,1.6360881398205112
18,2024-01-14,1.21,1.636370152611743
19,2024-01-15,1.58,1.6455537401383502
20,2024-01-16,1.88,1.6883557415092292
21,2024-01-17,1.79,1.6991204732729055
22,2024-01-18,2.0,1.725097309113224
23,2024-01-19,1.54,1.652431296722789
24,2024-01-20,1.46,1.6434961408820317
25,2024-01-21,1.25,1.6469614468469191
26,2024-01-22,1.71,1.662225585553034
27,2024-01-24,2.29,1.8135656051866
28,2024-01-26,1.38,1.729866773614761
29,2024-01-27,1.17,1.644841795473666
30,2024-01-28,1.92,1.6385315687720339
31,2024-01-29,1.46,1.6385967523314948
32,2024-01-30,1.75,1.638643296089978
33,2024-01-31,2.0,1.63852475900692
34,2024-02-01,2.21,1.6518528866413198
35,2024-02-02,2.58,1.639632932090613
36,2024-02-03,1.38,1.6063296177041284
37,2024-02-04,1.83,1.5333600268512235
38,2024-02-05,2.0,1.6210527933212795
39,2024-02-06,1.96,1.637695121675072
40,2024-02-07,1.42,1.6387276362222694
41,2024-02-08,3.08,1.6383460142346973
42,2024-02-09,2.17,1.638075183831933
43,2024-02-10,2.17,1.6275545138500798
44,2024-02-11,1.38,1.6339557279144687
45,2024-02-12,1.79,1.640618113260799
46,2024-02-13,1.62,1.6483174877436078
47,2024-02-14,1.71,1.6393665813703255
48,2024-02-15,2.0,1.6395078487860526
49,2024-02-17,1.58,1.6386749082501633
50,2024-02-18,1.83,1.6294640728196204
51,2024-02-19,1.96,1.6167710808610183
52,2024-02-25,2.12,1.6191377169250376
53,2024-02-26,1.96,1.6207145330260715
54,2024-02-27,2.79,1.613265544118597
55,2024-02-28,2.29,1.6023916946518593
56,2024-02-29,2.21,1.6317565791531075
57,2024-03-01,2.0,1.638575680496749
58,2024-03-02,2.0,1.6392124447658185
59,2024-03-03,1.58,1.6389011738191794
60,2024-03-04,1.29,1.654016566646085
61,2024-03-05,1.5,1.6692707853893258
62,2024-03-06,1.67,1.667542375758639
63,2024-03-07,1.5,1.7118154423915952
64,2024-03-10,2.04,1.6385990023436472
65,2024-03-11,1.79,1.6344931762912793
66,2024-03-12,2.21,1.6363901544678956
67,2024-03-13,2.04,1.6384033322994451
68,2024-03-14,2.04,1.6389585403238596
69,2024-03-15,1.46,1.6445839949880134
70,2024-03-16,2.12,1.6391797698628494
71,2024-03-17,2.08,1.627146966619608
72,2024-03-18,1.83,1.638923113636047
73,2024-03-19,2.0,1.6384997940262538
74,2024-03-20,1.75,1.6408187840011195
75,2024-03-21,2.0,1.6388577037947545
76,2024-03-22,2.0,1.6343318087409253
77,2024-03-23,2.08,1.6394207667693
78,2024-03-24,2.12,1.6390447004510331
79,2024-03-25,2.0,1.6194311695910821
80,2024-03-26,2.0,1.6424013358922869
81,2024-03-27,1.54,1.6421258134552863
82,2024-03-29,2.04,1.6360751393521968
83,2024-03-30,2.17,1.5812348393629576
84,2024-03-31,1.33,1.5515705819985908
85,2024-04-01,1.88,1.6388850104052326
86,2024-04-02,2.0,1.6387942374863713
87,2024-04-03,2.0,1.6387795759186687
88,2024-04-04,2.0,1.6388872358579643
89,2024-04-05,2.0,1.638717569650181
90,2024-04-06,2.0,1.6235960883151082
91,2024-04-07,2.0,1.6186375161536217
92,2024-04-08,1.92,1.6223722645611685
93,2024-04-09,1.71,1.6088772563199973
94,2024-04-10,1.96,1.6379948434286837
95,2024-04-11,1.75,1.639364982909827
96,2024-04-12,1.96,1.636007836862708
97,2024-04-13,2.0,1.563936121784212
98,2024-04-14,2.25,1.5447433455240616
99,2024-04-15,2.29,1.6171074795433893
100,2024-04-16,1.62,1.6005622858198827
101,2024-04-17,1.62,1.6247168679240565
102,2024-04-19,2.0,1.6281385833143331
103,2024-04-20,1.58,1.5801963046823642
104,2024-04-21,2.08,1.5995267220828007
105,2024-04-27,2.38,1.5236637645232185
106,2024-05-01,1.88,1.6320916690694305
107,2024-05-05,2.0,1.6089212036999954
108,2024-05-08,2.0,1.6394568373032277
109,2024-05-14,2.21,1.6206664538098434
110,2024-05-21,1.62,1.638951284524847
111,2024-05-22,2.25,1.6748489352030576
112,2024-05-23,1.83,1.7217528642819513
113,2024-05-28,1.79,1.6415493954090383
114,2024-06-02,2.79,1.6394644584881775
115,2024-06-06,1.62,1.8918475579032477
116,2024-06-13,2.42,1.6404037505119278
117,2024-06-18,2.88,2.1000618147397696
118,2024-06-19,2.88,2.1499231544531843
119,2024-06-20,2.54,2.201120699553734
120,2024-06-26,2.58,1.8617132878068128
121,2024-07-01,1.08,1.7596692858218583
122,2024-07-02,2.08,1.74976722048997
123,2024-07-05,1.96,2.223985852431696
124,2024-07-06,1.96,2.0793253381262358
125,2024-07-07,2.92,2.1282457248134516
126,2024-07-08,2.67,2.2921434720073632
127,2024-07-09,2.42,2.3177244591281987
128,2024-07-10,2.04,2.3634281217886777
129,2024-07-11,1.92,2.314315310574539
130,2024-07-12,1.96,2.2116807633075877
131,2024-07-13,1.58,2.1104675196435996
132,2024-07-14,2.5,1.979067726217294
133,2024-07-15,2.83,2.113087571166645
134,2024-07-16,2.79,2.1883660575351636
135,2024-07-17,2.54,1.8594680030971655
136,2024-07-21,2.79,1.834171809528021
137,2024-07-22,2.46,2.0833425186308396
138,2024-08-01,1.67,2.2660297377604204
139,2024-08-02,1.96,2.330952844741145
140,2024-08-03,2.04,2.302286507817228
141,2024-08-04,1.96,2.154998629105239
142,2024-08-05,2.04,2.1842618462088668
143,2024-08-06,1.67,2.1415734985845942
144,2024-08-07,1.67,1.7146624068744196
145,2024-08-08,1.88,1.6644907706246823
146,2024-08-11,1.75,1.6674613986502993
147,2024-08-12,1.62,1.7578778571386682
148,2024-08-13,1.38,1.742134754451902
149,2024-08-14,2.42,1.9397321621885624
150,2024-08-15,2.25,2.1131001191368872
151,2024-08-16,2.46,2.04555055466113
152,2024-08-17,1.62,1.8486241592253225
153,2024-08-18,1.71,1.7874150607976618
154,2024-08-19,1.62,2.060564733211327
155,2024-08-20,1.25,1.6580936992935922
156,2024-08-21,1.33,1.6384121273656138
157,2024-08-22,1.25,1.6381645581696789
158,2024-08-23,1.75,1.6449496980828202
159,2024-08-24,2.42,1.6404518934126562
160,2024-08-25,2.96,1.6989584936421014
161,2024-08-26,2.75,2.0798701840414022
162,2024-08-27,3.29,1.9863473693086062
163,2024-08-28,2.88,2.189563064594318
164,2024-08-30,1.71,1.6681822532675252
165,2024-08-31,1.5,1.699224267912742
166,2024-09-01,1.58,1.7149376408886727
167,2024-09-02,1.58,1.6408098295146814
168,2024-09-03,1.75,1.6385731809937434
169,2024-09-04,2.33,1.6610163243659586
170,2024-09-05,1.96,1.66388003115332
171,2024-09-07,1.83,1.647589503183177
172,2024-09-08,1.62,1.6284519144692688
173,2024-09-09,2.0,1.6392816663292606
174,2024-09-10,1.52,1.6726185523317119
175,2024-09-11,1.96,1.698407294638772
176,2024-09-17,1.83,1.704217209800687
177,2024-09-18,1.71,1.8750029481868942
178,2024-09-19,1.83,1.8593751814533297
179,2024-10-01,1.5,1.668776941556668
180,2024-10-02,1.67,1.6786705934514528
181,2024-10-07,1.25,1.8542499790337916
182,2024-10-08,1.38,1.7141848744229575
183,2024-10-09,1.54,1.7310340013576964
184,2024-10-10,1.04,1.7380398730270274
185,2024-10-11,1.21,1.6712793090606377
186,2024-10-12,1.75,1.6396975727218
187,2024-10-13,1.25,1.84161342849041
188,2024-10-14,1.62,1.893685975222335
189,2024-10-15,1.29,1.8034900812337795
190,2024-10-16,1.58,1.774454813237554
191,2024-10-17,1.42,1.9114084242227396
192,2024-10-18,1.71,1.772445033480305
193,2024-10-19,2.12,1.679625355867613
194,2024-10-20,2.0,1.6497485948523893
195,2024-10-21,2.21,1.6929150894287794
196,2024-10-22,2.17,1.7492670585324568
197,2024-10-23,3.21,1.7414526585793266
198,2024-10-24,1.83,1.784003036649643
199,2024-10-25,1.29,1.7390416601489311
200,2024-10-26,1.54,1.6597719124060073
201,2024-10-27,1.83,1.6506383023178266
202,2024-10-28,1.33,1.8364663996723627
203,2024-10-29,1.58,2.0314149752699504
204,2024-10-30,1.83,1.8076031080236954
205,2024-11-01,1.96,1.6716133580880765
206,2024-11-02,1.5,1.6738360592783077
