,period,Actual,Predicted
0,2023-12-26,3.08,1.5182912
1,2023-12-27,2.21,1.6050334
2,2023-12-28,1.12,1.6907645
3,2023-12-29,1.33,1.539587
4,2023-12-30,1.17,1.5485052
5,2023-12-31,1.25,1.5165287
6,2024-01-01,1.25,1.4939442
7,2024-01-02,1.46,1.3696227
8,2024-01-03,1.92,1.6821396
9,2024-01-04,1.83,1.5346711
10,2024-01-05,1.96,1.5919973
11,2024-01-07,2.0,1.6552484
12,2024-01-08,1.5,1.5464159
13,2024-01-09,2.0,1.4858224
14,2024-01-10,1.7,1.5861473
15,2024-01-11,1.04,1.5154026
16,2024-01-12,1.67,1.3688881
17,2024-01-13,1.71,1.6994728
18,2024-01-14,1.21,1.5825822
19,2024-01-15,1.58,1.6911224
20,2024-01-16,1.88,1.5330755
21,2024-01-17,1.79,1.4705584
22,2024-01-18,2.0,1.6537873
23,2024-01-19,1.54,1.6433651
24,2024-01-20,1.46,2.0125628
25,2024-01-21,1.25,1.3025954
26,2024-01-22,1.71,1.407706
27,2024-01-24,2.29,1.5277421
28,2024-01-26,1.38,2.0335553
29,2024-01-27,1.17,1.6522413
30,2024-01-28,1.92,1.7774123
31,2024-01-29,1.46,1.4226503
32,2024-01-30,1.75,1.4872326
33,2024-01-31,2.0,1.9138172
34,2024-02-01,2.21,1.6534982
35,2024-02-02,2.58,1.7780911
36,2024-02-03,1.38,1.7305568
37,2024-02-04,1.83,1.7966157
38,2024-02-05,2.0,1.8163046
39,2024-02-06,1.96,2.065187
40,2024-02-07,1.42,1.4973389
41,2024-02-08,3.08,1.8163445
42,2024-02-09,2.17,1.9355143
43,2024-02-10,2.17,2.300407
44,2024-02-11,1.38,1.8209733
45,2024-02-12,1.79,1.7541001
46,2024-02-13,1.62,2.0978868
47,2024-02-14,1.71,1.753412
48,2024-02-15,2.0,1.6079538
49,2024-02-17,1.58,1.4615378
50,2024-02-18,1.83,1.427844
51,2024-02-19,1.96,1.5645864
52,2024-02-25,2.12,1.6628631
53,2024-02-26,1.96,1.8141291
54,2024-02-27,2.79,1.6485834
55,2024-02-28,2.29,1.3247051
56,2024-02-29,2.21,2.106641
57,2024-03-01,2.0,1.4917766
58,2024-03-02,2.0,1.8588507
59,2024-03-03,1.58,1.5608307
60,2024-03-04,1.29,1.7912036
61,2024-03-05,1.5,1.7850876
62,2024-03-06,1.67,1.539284
63,2024-03-07,1.5,2.220525
64,2024-03-10,2.04,1.7403547
65,2024-03-11,1.79,1.2938896
66,2024-03-12,2.21,1.4943913
67,2024-03-13,2.04,1.9555082
68,2024-03-14,2.04,1.582036
69,2024-03-15,1.46,1.8213288
70,2024-03-16,2.12,1.7502242
71,2024-03-17,2.08,1.5582737
72,2024-03-18,1.83,1.6379389
73,2024-03-19,2.0,1.5684884
74,2024-03-20,1.75,1.6197011
75,2024-03-21,2.0,1.7160231
76,2024-03-22,2.0,1.5994253
77,2024-03-23,2.08,1.8232293
78,2024-03-24,2.12,1.6961851
79,2024-03-25,2.0,1.2623047
80,2024-03-26,2.0,1.233529
81,2024-03-27,1.54,1.6797341
82,2024-03-29,2.04,1.5147749
83,2024-03-30,2.17,1.6071635
84,2024-03-31,1.33,1.6121684
85,2024-04-01,1.88,1.5989921
86,2024-04-02,2.0,1.8980767
87,2024-04-03,2.0,1.8317267
88,2024-04-04,2.0,1.6577383
89,2024-04-05,2.0,1.5485052
90,2024-04-06,2.0,1.6413047
91,2024-04-07,2.0,1.6264668
92,2024-04-08,1.92,1.5870024
93,2024-04-09,1.71,1.7079422
94,2024-04-10,1.96,1.3864615
95,2024-04-11,1.75,1.7355336
96,2024-04-12,1.96,1.5889487
97,2024-04-13,2.0,1.4238745
98,2024-04-14,2.25,1.7617521
99,2024-04-15,2.29,1.5869288
100,2024-04-16,1.62,1.5031888
101,2024-04-17,1.62,1.8825985
102,2024-04-19,2.0,1.784277
103,2024-04-20,1.58,1.4962391
104,2024-04-21,2.08,1.4863561
105,2024-04-27,2.38,1.4986691
106,2024-05-01,1.88,1.4433069
107,2024-05-05,2.0,1.558213
108,2024-05-08,2.0,1.6827757
109,2024-05-14,2.21,1.6884475
110,2024-05-21,1.62,1.5242268
111,2024-05-22,2.25,1.9629707
112,2024-05-23,1.83,1.8604014
113,2024-05-28,1.79,1.5892965
114,2024-06-02,2.79,1.7122252
115,2024-06-06,1.62,2.5378764
116,2024-06-13,2.42,2.02192
117,2024-06-18,2.88,2.2623475
118,2024-06-19,2.88,1.9864638
119,2024-06-20,2.54,2.2287583
120,2024-06-26,2.58,1.6894945
121,2024-07-01,1.08,1.7872165
122,2024-07-02,2.08,1.6988977
123,2024-07-05,1.96,1.6835222
124,2024-07-06,1.96,2.1693568
125,2024-07-07,2.92,2.080584
126,2024-07-08,2.67,2.3277552
127,2024-07-09,2.42,1.7928008
128,2024-07-10,2.04,2.1004622
129,2024-07-11,1.92,2.3429747
130,2024-07-12,1.96,2.4981887
131,2024-07-13,1.58,2.4772847
132,2024-07-14,2.5,2.361202
133,2024-07-15,2.83,2.5060408
134,2024-07-16,2.79,2.4774454
135,2024-07-17,2.54,2.4702575
136,2024-07-21,2.79,1.6966798
137,2024-07-22,2.46,1.9355519
138,2024-08-01,1.67,3.0026672
139,2024-08-02,1.96,2.429805
140,2024-08-03,2.04,2.3042743
141,2024-08-04,1.96,2.440025
142,2024-08-05,2.04,2.4341295
143,2024-08-06,1.67,2.363601
144,2024-08-07,1.67,1.3919567
145,2024-08-08,1.88,1.8173904
146,2024-08-11,1.75,1.550749
147,2024-08-12,1.62,1.509997
148,2024-08-13,1.38,1.2419837
149,2024-08-14,2.42,1.6658851
150,2024-08-15,2.25,2.3600125
151,2024-08-16,2.46,2.3600125
152,2024-08-17,1.62,1.6884074
153,2024-08-18,1.71,1.8941804
154,2024-08-19,1.62,1.9420497
155,2024-08-20,1.25,1.5544558
156,2024-08-21,1.33,1.6963904
157,2024-08-22,1.25,1.8486953
158,2024-08-23,1.75,1.4632673
159,2024-08-24,2.42,1.6488602
160,2024-08-25,2.96,1.2783833
161,2024-08-26,2.75,2.1030388
162,2024-08-27,3.29,2.0608578
163,2024-08-28,2.88,2.3522294
164,2024-08-30,1.71,1.5194083
165,2024-08-31,1.5,1.2783833
166,2024-09-01,1.58,2.2508898
167,2024-09-02,1.58,1.5154026
168,2024-09-03,1.75,1.5410597
169,2024-09-04,2.33,1.4958123
170,2024-09-05,1.96,1.478015
171,2024-09-07,1.83,1.4827348
172,2024-09-08,1.62,1.8117009
173,2024-09-09,2.0,1.730836
174,2024-09-10,1.52,1.7550331
175,2024-09-11,1.96,1.2609417
176,2024-09-17,1.83,1.5310131
177,2024-09-18,1.71,2.5146763
178,2024-09-19,1.83,1.867363
179,2024-10-01,1.5,1.7198902
180,2024-10-02,1.67,1.6026926
181,2024-10-07,1.25,2.1142209
182,2024-10-08,1.38,2.3751154
183,2024-10-09,1.54,2.0237412
184,2024-10-10,1.04,1.9446963
185,2024-10-11,1.21,2.1759453
186,2024-10-12,1.75,1.7429956
187,2024-10-13,1.25,2.2198005
188,2024-10-14,1.62,2.928086
189,2024-10-15,1.29,2.0274348
190,2024-10-16,1.58,1.4593524
191,2024-10-17,1.42,2.449464
192,2024-10-18,1.71,2.091578
193,2024-10-19,2.12,1.5068026
194,2024-10-20,2.0,1.641367
195,2024-10-21,2.21,1.8907182
196,2024-10-22,2.17,1.4736513
197,2024-10-23,3.21,1.827891
198,2024-10-24,1.83,1.9618704
199,2024-10-25,1.29,1.6380798
200,2024-10-26,1.54,1.4120926
201,2024-10-27,1.83,1.370182
202,2024-10-28,1.33,1.884453
203,2024-10-29,1.58,2.1271257
204,2024-10-30,1.83,1.5478282
205,2024-11-01,1.96,1.7550331
206,2024-11-02,1.5,2.1759453
